Sl no.,District Name,Market Name,Commodity,Variety,Grade,Min Price (Rs./Quintal),Max Price (Rs./Quintal),Modal Price (Rs./Quintal),Price Date
1,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,30 Sep 2019
2,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,29 Sep 2019
3,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,26 Sep 2019
4,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,25 Sep 2019
5,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,20 Sep 2019
6,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,19 Sep 2019
7,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,18 Sep 2019
8,Lucknow,Banthara,Wheat,Dara,FAQ,1800,1850,1840,17 Sep 2019
9,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,16 Sep 2019
10,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,15 Sep 2019
11,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,14 Sep 2019
12,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,13 Sep 2019
13,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1850,1800,11 Sep 2019
14,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1850,1800,10 Sep 2019
15,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1850,1800,09 Sep 2019
16,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1850,1800,08 Sep 2019
17,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1840,1800,04 Sep 2019
18,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1840,1800,03 Sep 2019
19,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1840,1800,02 Sep 2019
20,Lucknow,Banthara,Wheat,Dara,FAQ,1780,1840,1800,01 Sep 2019
21,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1840,1800,29 Aug 2019
22,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1840,1800,28 Aug 2019
23,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1840,1800,27 Aug 2019
24,Lucknow,Banthara,Wheat,Dara,FAQ,1770,1840,1800,26 Aug 2019
25,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1850,1800,21 Aug 2019
26,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1850,1800,20 Aug 2019
27,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1850,1800,19 Aug 2019
28,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1850,1800,18 Aug 2019
29,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,13 Aug 2019
30,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,12 Aug 2019
31,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,11 Aug 2019
32,Lucknow,Banthara,Wheat,Dara,FAQ,1700,1840,1800,10 Aug 2019
33,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1840,06 Aug 2019
34,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,05 Aug 2019
35,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,04 Aug 2019
36,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,03 Aug 2019
37,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,31 Jul 2019
38,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,30 Jul 2019
39,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,29 Jul 2019
40,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,28 Jul 2019
41,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1900,1800,26 Jul 2019
42,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,25 Jul 2019
43,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,24 Jul 2019
44,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,23 Jul 2019
45,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,22 Jul 2019
46,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,21 Jul 2019
47,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,20 Jul 2019
48,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,19 Jul 2019
49,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,18 Jul 2019
50,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1800,17 Jul 2019
51,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1840,16 Jul 2019
52,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1800,1800,15 Jul 2019
53,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1840,14 Jul 2019
54,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1840,13 Jul 2019
55,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1840,11 Jul 2019
56,Lucknow,Banthara,Wheat,Dara,FAQ,1740,1840,1840,10 Jul 2019
57,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,08 Jul 2019
58,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,07 Jul 2019
59,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,06 Jul 2019
60,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,05 Jul 2019
61,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,02 Jul 2019
62,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1850,1840,01 Jul 2019
63,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1850,1840,30 Jun 2019
64,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,29 Jun 2019
65,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1850,1840,28 Jun 2019
66,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,24 Jun 2019
67,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,23 Jun 2019
68,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,20 Jun 2019
69,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,19 Jun 2019
70,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,18 Jun 2019
71,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,17 Jun 2019
72,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,15 Jun 2019
73,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,14 Jun 2019
74,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,13 Jun 2019
75,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,12 Jun 2019
76,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,10 Jun 2019
77,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,09 Jun 2019
78,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,08 Jun 2019
79,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,07 Jun 2019
80,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,06 Jun 2019
81,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,05 Jun 2019
82,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,04 Jun 2019
83,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,03 Jun 2019
84,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,01 Jun 2019
85,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,31 May 2019
86,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,30 May 2019
87,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,29 May 2019
88,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,28 May 2019
89,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,27 May 2019
90,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,26 May 2019
91,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,25 May 2019
92,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,24 May 2019
93,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,23 May 2019
94,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,22 May 2019
95,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,21 May 2019
96,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,20 May 2019
97,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,19 May 2019
98,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,18 May 2019
99,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,17 May 2019
100,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,16 May 2019
101,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,15 May 2019
102,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,14 May 2019
103,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,13 May 2019
104,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,12 May 2019
105,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,11 May 2019
106,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,10 May 2019
107,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,09 May 2019
108,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,08 May 2019
109,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,07 May 2019
110,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,06 May 2019
111,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,05 May 2019
112,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,04 May 2019
113,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,03 May 2019
114,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,02 May 2019
115,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,01 May 2019
116,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,30 Apr 2019
117,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,29 Apr 2019
118,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,28 Apr 2019
119,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,27 Apr 2019
120,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,26 Apr 2019
121,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,25 Apr 2019
122,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,23 Apr 2019
123,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,22 Apr 2019
124,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,21 Apr 2019
125,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,20 Apr 2019
126,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,18 Apr 2019
127,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,17 Apr 2019
128,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,16 Apr 2019
129,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,15 Apr 2019
130,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,14 Apr 2019
131,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,13 Apr 2019
132,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,12 Apr 2019
133,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,11 Apr 2019
134,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,10 Apr 2019
135,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,09 Apr 2019
136,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,08 Apr 2019
137,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,07 Apr 2019
138,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,06 Apr 2019
139,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,05 Apr 2019
140,Lucknow,Banthara,Wheat,Dara,FAQ,1840,1840,1840,04 Apr 2019
141,Lucknow,Banthara,Wheat,Dara,FAQ,1840,2000,1900,03 Apr 2019
142,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,02 Apr 2019
143,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,01 Apr 2019
144,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,31 Mar 2019
145,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,30 Mar 2019
146,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,29 Mar 2019
147,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,28 Mar 2019
148,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,27 Mar 2019
149,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,26 Mar 2019
150,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,25 Mar 2019
151,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,24 Mar 2019
152,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,18 Mar 2019
153,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,17 Mar 2019
154,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,16 Mar 2019
155,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,15 Mar 2019
156,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,14 Mar 2019
157,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,13 Mar 2019
158,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,12 Mar 2019
159,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,11 Mar 2019
160,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,10 Mar 2019
161,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,09 Mar 2019
162,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,08 Mar 2019
163,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,07 Mar 2019
164,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,06 Mar 2019
165,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,05 Mar 2019
166,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,04 Mar 2019
167,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,03 Mar 2019
168,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,02 Mar 2019
169,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,01 Mar 2019
170,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,28 Feb 2019
171,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,27 Feb 2019
172,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,26 Feb 2019
173,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,25 Feb 2019
174,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,24 Feb 2019
175,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,23 Feb 2019
176,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,22 Feb 2019
177,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,21 Feb 2019
178,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,20 Feb 2019
179,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,19 Feb 2019
180,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,18 Feb 2019
181,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,17 Feb 2019
182,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,16 Feb 2019
183,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,15 Feb 2019
184,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,14 Feb 2019
185,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,13 Feb 2019
186,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,12 Feb 2019
187,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,11 Feb 2019
188,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,10 Feb 2019
189,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,09 Feb 2019
190,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,08 Feb 2019
191,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,07 Feb 2019
192,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,06 Feb 2019
193,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,05 Feb 2019
194,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,04 Feb 2019
195,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,03 Feb 2019
196,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,02 Feb 2019
197,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,01 Feb 2019
198,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,31 Jan 2019
199,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,30 Jan 2019
200,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2000,1900,29 Jan 2019
201,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,28 Jan 2019
202,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,26 Jan 2019
203,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,25 Jan 2019
204,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2150,1900,24 Jan 2019
205,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,23 Jan 2019
206,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,22 Jan 2019
207,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,21 Jan 2019
208,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,20 Jan 2019
209,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,19 Jan 2019
210,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,18 Jan 2019
211,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,17 Jan 2019
212,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,16 Jan 2019
213,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,15 Jan 2019
214,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,14 Jan 2019
215,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,13 Jan 2019
216,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,12 Jan 2019
217,Lucknow,Banthara,Wheat,Dara,FAQ,1800,2100,1900,11 Jan 2019
218,Lucknow,Banthara,Wheat,Dara,FAQ,1750,2100,1900,10 Jan 2019
219,Lucknow,Banthara,Wheat,Dara,FAQ,1750,2100,1900,09 Jan 2019
220,Lucknow,Banthara,Wheat,Dara,FAQ,1750,2100,1900,08 Jan 2019
221,Lucknow,Banthara,Wheat,Dara,FAQ,1750,2100,1900,07 Jan 2019
222,Lucknow,Banthara,Wheat,Dara,FAQ,1750,2100,1900,06 Jan 2019
223,Lucknow,Banthara,Wheat,Dara,FAQ,1750,2100,1900,05 Jan 2019
224,Lucknow,Banthara,Wheat,Dara,FAQ,1750,2100,1900,04 Jan 2019
225,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,03 Jan 2019
226,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,02 Jan 2019
227,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,01 Jan 2019
228,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,31 Dec 2018
229,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,30 Dec 2018
230,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,29 Dec 2018
231,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,28 Dec 2018
232,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1800,27 Dec 2018
233,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,26 Dec 2018
234,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,25 Dec 2018
235,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,24 Dec 2018
236,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,23 Dec 2018
237,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,22 Dec 2018
238,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,21 Dec 2018
239,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,20 Dec 2018
240,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,19 Dec 2018
241,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,18 Dec 2018
242,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,17 Dec 2018
243,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1900,1850,16 Dec 2018
244,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1800,1700,15 Dec 2018
245,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1800,1700,14 Dec 2018
246,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1800,1700,13 Dec 2018
247,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1800,1700,12 Dec 2018
248,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1800,1700,11 Dec 2018
249,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1800,1700,10 Dec 2018
250,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1800,1700,09 Dec 2018
251,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1800,1700,08 Dec 2018
252,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,07 Dec 2018
253,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,06 Dec 2018
254,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,05 Dec 2018
255,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,04 Dec 2018
256,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,03 Dec 2018
257,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,02 Dec 2018
258,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,30 Nov 2018
259,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,29 Nov 2018
260,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,28 Nov 2018
261,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,27 Nov 2018
262,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,26 Nov 2018
263,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,25 Nov 2018
264,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,24 Nov 2018
265,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,23 Nov 2018
266,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,22 Nov 2018
267,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,21 Nov 2018
268,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,20 Nov 2018
269,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,19 Nov 2018
270,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,18 Nov 2018
271,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1750,17 Nov 2018
272,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1750,16 Nov 2018
273,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1750,15 Nov 2018
274,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,14 Nov 2018
275,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,13 Nov 2018
276,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,12 Nov 2018
277,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,11 Nov 2018
278,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,10 Nov 2018
279,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,08 Nov 2018
280,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,07 Nov 2018
281,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,06 Nov 2018
282,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,05 Nov 2018
283,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,04 Nov 2018
284,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,03 Nov 2018
285,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,02 Nov 2018
286,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,01 Nov 2018
287,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,31 Oct 2018
288,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1800,1700,30 Oct 2018
289,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,29 Oct 2018
290,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1850,1700,28 Oct 2018
291,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,27 Oct 2018
292,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,26 Oct 2018
293,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,24 Oct 2018
294,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,23 Oct 2018
295,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,22 Oct 2018
296,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,21 Oct 2018
297,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,20 Oct 2018
298,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,19 Oct 2018
299,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,18 Oct 2018
300,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,17 Oct 2018
301,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,16 Oct 2018
302,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,15 Oct 2018
303,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,14 Oct 2018
304,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,13 Oct 2018
305,Lucknow,Banthara,Wheat,Dara,FAQ,1650,1700,1690,12 Oct 2018
306,Lucknow,Banthara,Wheat,Dara,FAQ,1600,1700,1650,11 Oct 2018
307,Lucknow,Banthara,Wheat,Dara,FAQ,1570,1700,1690,10 Oct 2018
308,Lucknow,Banthara,Wheat,Dara,FAQ,1570,1700,1650,09 Oct 2018
309,Lucknow,Banthara,Wheat,Dara,FAQ,1570,1700,1690,08 Oct 2018
310,Lucknow,Banthara,Wheat,Dara,FAQ,1570,1700,1690,07 Oct 2018
